"fullname","office","position","id","source","document_type","url","patronymic","created_date","first_name","last_name","is_corrected","organization_ua_company_code","debtor_ukr_firstname","debtor_ua_firstname","dnt_objectType_encoded","organization_ua_company_name","otherObjectType","organization_type","debtor_eng_lastname","debtor_eng_firstname","debtor_ua_lastname","organization_eng_company_address","objectType","organization_eng_company_name","dnt_sizeAssets_hidden","iteration","organization","debtor_ukr_middlename","dnt_is_foreign","debtor_ua_sameRegLivingAddress","person","assetsCurrency","debtor_eng_sameRegLivingAddress","debtor_ua_middlename","sizeAssets","debtor_eng_middlename","organization_ukr_company_address","organization_eng_company_code","organization_ukr_company_name","debtor_ukr_lastname","object_id","ownershipType","otherOwnership","percent.ownership","organization_extendedstatus","organization_ua_company_name_extendedstatus","organization_ua_company_code_extendedstatus","sizeAssets_extendedstatus","otherObjectType_extendedstatus","organization_eng_company_code_extendedstatus","assetsCurrency_extendedstatus","organization_eng_company_address_extendedstatus","organization_ukr_company_name_extendedstatus","organization_eng_company_name_extendedstatus","organization_ukr_company_address_extendedstatus","declarant","subjectRelation","in_hryvnias"
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Рафкатович",2018-03-19,"Олександр","Абдуллін","FALSE","00032129","","","bank","ПАТ ""Державний Ощадний банк України""","","Юридична особа, зареєстрована в Україні","","","","","Кошти, розміщені на банківських рахунках","","FALSE","1490101704262","j","","FALSE","","1","USD","","",2960,"","","","","","1490101704262","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Абдуллін Олександр Рафкатович",NA,83078.98
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Рафкатович",2018-03-19,"Олександр","Абдуллін","FALSE","","","","cash","","","","","","","","Готівкові кошти","","FALSE","1477564642168","","","FALSE","","1","UAH","","",200000,"","","","","","1477564642168","Спільна власність","",50,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Абдуллін Олександр Рафкатович",NA,200000
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Рафкатович",2018-03-19,"Олександр","Абдуллін","FALSE","00032129","","","bank","ПАТ ""Державний Ощадний банк України""","","Юридична особа, зареєстрована в Україні","","","","","Кошти, розміщені на банківських рахунках","","FALSE","1477563899710","j","","FALSE","","1476705147748","UAH","","",1963875,"","","","","","1477563899710","Власність","",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"Смоленська Тетяна Ростиславівна","дружина",1963875
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Рафкатович",2018-03-19,"Олександр","Абдуллін","FALSE","00032129","","","bank","ПАТ ""Державний Ощадний банк України""","","Юридична особа, зареєстрована в Україні","","","","","Кошти, розміщені на банківських рахунках","","FALSE","1477565579606","j","","FALSE","","1","UAH","","",15497,"","","","","","1477565579606","Власність","",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"Абдуллін Олександр Рафкатович",NA,15497
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Рафкатович",2018-03-19,"Олександр","Абдуллін","FALSE","00032129","","","bank","ПАТ ""Державний Ощадний банк України""","","Юридична особа, зареєстрована в Україні","","","","","Кошти, розміщені на банківських рахунках","","FALSE","1490101816031","j","","FALSE","","1476705147748","USD","","",3870,"","","","","","1490101816031","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Смоленська Тетяна Ростиславівна","дружина",108620.15
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Рафкатович",2018-03-19,"Олександр","Абдуллін","FALSE","","","","cash","","","","","","","","Готівкові кошти","","FALSE","1477564499926","","","FALSE","","1","USD","","",375000,"","","","","","1477564499926","Спільна власність","",50,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Абдуллін Олександр Рафкатович",NA,10525208.62
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Рафкатович",2018-03-19,"Олександр","Абдуллін","FALSE","","","","cash","","","","","","","","Готівкові кошти","","FALSE","1477564589241","","","FALSE","","1","EUR","","",70000,"","","","","","1477564589241","Спільна власність","",50,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Абдуллін Олександр Рафкатович",NA,2344679.68
"Агафонова Наталія Володимирівна","Верховна Рада України","народний депутат України","nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Володимирівна",2018-03-16,"Наталія","Агафонова","FALSE","","","","cash","","","","","","","","Готівкові кошти","","FALSE","1477656593587","","","FALSE","","1","UAH","","",900000,"","","","","","1477656593587","Власність","",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Агафонова Наталія Володимирівна",NA,900000
"Агафонова Наталія Володимирівна","Верховна Рада України","народний депутат України","nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Володимирівна",2018-03-16,"Наталія","Агафонова","FALSE",NA,"","","cash","","","","","","",NA,"Готівкові кошти","","FALSE",NA,"","","FALSE","","1","USD","","",43000,"",NA,NA,"","","1477505680516","Власність","",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Агафонова Наталія Володимирівна",NA,1206890.59
"Алексєєв Ігор Сергійович","Верховна Рада України","Народний депутат України","nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Сергійович",2018-03-11,"Ігор","Алексєєв","FALSE","","","","cash","","","","","","","","Готівкові кошти","","FALSE","1477255233520","","","FALSE","","1476743018040","USD","","",12000,"","","","","","1477255233520","Власність","",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Нестор Наталія Володимирівна","дружина",336806.68
